ID,Date
c405,2014.474904
c438,2014.386896
c590,2014.570626
c603,2014.760092
c1136,2015.166882
c1200,2015.580496
c1325,2015.638557
c1448,2015.950973
c238,2014.303377
c658,2014.928495
c674,2015.107382
c919,2015.086464
c1045,2015.580952
c1048,2015.457787
c1486,2015.505425
c1608,2016.161188
c1640,2016.232001
c1647,2016.296129
c1769,2016.010008
c1860,2016.717329
c41,2014.0312
c114,2013.847389
c182,2014.113847
c295,2014.61791
c1283,2015.616685
c1345,2015.777238
c1614,2016.147528
c136,2014.398702
c145,2014.340128
c297,2014.695426
c1357,2015.718544
c1387,2015.951453
c1876,2016.821741
c151,2014.287117
c716,2015.084416
c850,2015.059012
c852,2015.091439
c1367,2015.778701
c286,2013.695713
c599,2014.401347
c946,2015.294079
c1627,2013.062307
c1825,2016.809668
c730,2015.12238
c801,2015.063575
c1298,2014.813185
c1469,2015.737983
c825,2013.195471
c876,2014.992921
c887,2015.066862
c1052,2015.494386
c113,2014.146516
c442,2014.653542
c1217,2015.562086
c1218,2015.564901
c1483,2016.126685
c2002,2016.313872
c483,2013.981944
c874,2015.263871
c918,2015.099765
c969,2015.456996
c1225,2014.865432
c1604,2016.317802
c502,2014.063877
c534,2014.217967
c537,2014.219117
c2139,2016.696366
c660,2014.678651
c815,2015.339252
c954,2015.430032
c1340,2015.846379
c1607,2016.108925
c1615,2016.02424
c56,2014.001119
c977,2015.255735
c1193,2015.475311
c1477,2016.068682
c167,2014.381108
c589,2013.910739
c867,2015.247144
c1681,2016.41028
c162,2014.032822
c184,2014.163766
c1379,2015.769389
c1625,2016.425174
c1713,2016.626875
c1829,2016.687364
c1866,2016.358269
c308,2014.820644
c1127,2014.868424
c1812,2015.862833
c1879,2016.912488
c2096,2016.932918
c183,2013.424606
c1178,2015.422038
c1784,2016.023487
c1798,2016.638614
c575,2014.799249
c885,2015.12117
c1685,2016.463968
c1690,2016.499079
c1822,2016.574528
c582,2013.770402
c1095,2015.487129
c1581,2016.229081
c1667,2016.303751
c1738,2016.484318
c100,2014.333548
c115,2014.122255
c573,2014.711712
c770,2015.087512
c1926,2017.005503
c1976,2016.966326
c908,2015.042015
c1531,2016.107745
c1532,2016.213456
c1658,2016.472145
